userName,review,at,rating,date,bank,source
Abdulhadi Awol,Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,2025-05-17 10:50:46,5,2025-05-17,CBE,Google Play
Tade Meko,excellent,2025-05-17 04:56:52,5,2025-05-17,CBE,Google Play
Muhammed Sirage,always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,2025-05-17 02:00:16,1,2025-05-17,CBE,Google Play
Woxe harimo Woxe man,woxe harimo ribiso,2025-05-16 21:36:55,5,2025-05-16,CBE,Google Play
Temesgen Geremew,good,2025-05-16 10:04:05,5,2025-05-16,CBE,Google Play
Heran gizaw,"Good ,easy to use",2025-05-16 08:18:43,5,2025-05-16,CBE,Google Play
Bisewer Yobisewer,Good app,2025-05-15 15:20:20,5,2025-05-15,CBE,Google Play
Zelalem Tesfaye,Good job👍,2025-05-14 20:26:07,5,2025-05-14,CBE,Google Play
Marchu Zenebe,good,2025-05-14 13:45:59,5,2025-05-14,CBE,Google Play
Nguss Abadi,nice,2025-05-14 13:20:48,5,2025-05-14,CBE,Google Play
Reem Khalil,"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2025-05-14 12:14:19,2,2025-05-14,CBE,Google Play
Moha Abdoo,I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,2025-05-13 16:10:52,4,2025-05-13,CBE,Google Play
Yisak Abrham,customer service is bad nothing is good about this bank,2025-05-13 11:34:12,1,2025-05-13,CBE,Google Play
Ebisa Asirat,It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,2025-05-13 08:43:53,5,2025-05-13,CBE,Google Play
Kedir Gashu,fast and simple easy to use 👌,2025-05-12 12:39:56,5,2025-05-12,CBE,Google Play
Yoba Bayo,The fastest transferring app I ever had its so reliable,2025-05-11 11:03:25,5,2025-05-11,CBE,Google Play
Michael M,"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",2025-05-11 08:04:05,3,2025-05-11,CBE,Google Play
Robal Keyo,it's easy and fast,2025-05-10 10:39:25,5,2025-05-10,CBE,Google Play
Nuredin Muhammed,This app don't have self activation only you have to look near cbe branch that's disgusting,2025-05-10 04:15:08,1,2025-05-10,CBE,Google Play
Yunus Nasir,hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,2025-05-09 17:45:30,5,2025-05-09,CBE,Google Play
Deva Always,wow best application ever,2025-05-09 10:22:12,5,2025-05-09,CBE,Google Play
Ahmed Mohammed,good,2025-05-09 06:10:20,5,2025-05-09,CBE,Google Play
Fraol0 (Main),"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",2025-05-08 16:55:11,1,2025-05-08,CBE,Google Play
