userName,review,at,rating,date,bank,source
Chol Kur,Whenever I try to sign in app close please fixed it out,2025-01-21 16:34:22,2,2025-01-21,BOA,Google Play
Segni Tufa,Beter,2025-01-21 09:47:47,5,2025-01-21,BOA,Google Play
Abeba Berha,Boa,2025-01-18 13:17:34,4,2025-01-18,BOA,Google Play
Yitbarek Misganaw,በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,2025-01-18 10:33:28,1,2025-01-18,BOA,Google Play
Adan Axmed sh Barkhadle,Aadan Axmed Barkhadle,2025-01-17 16:23:05,5,2025-01-17,BOA,Google Play
Ashenafi Tamene,😡😡😡🤬🤬🤬,2025-01-16 09:46:26,1,2025-01-16,BOA,Google Play
Milkyas theodros,Horrible customer service and app crashes Horrible!!,2025-01-15 10:24:17,1,2025-01-15,BOA,Google Play
Yishak Wondafrash,I love it,2025-01-14 08:17:47,5,2025-01-14,BOA,Google Play
Metalgn N,Best,2025-01-14 08:14:00,5,2025-01-14,BOA,Google Play
Abdisa BirUK,It keeps asking me to turn off developer mode even when dev mode is off. Couldn't use it.,2025-01-13 12:45:23,1,2025-01-13,BOA,Google Play
Mesay Abdi,Good🙏,2025-01-11 23:27:14,5,2025-01-11,BOA,Google Play
No Bad,Like to much,2025-01-11 07:43:49,5,2025-01-11,BOA,Google Play
Osman Ahmed,Thank you,2025-01-10 16:24:54,5,2025-01-10,BOA,Google Play
alehamdu bedeu,Perfect,2025-01-09 16:02:07,5,2025-01-09,BOA,Google Play
Daniel Tilahun,The best of best,2025-01-09 12:57:55,5,2025-01-09,BOA,Google Play
Abbuu Ko,I was using this app for long time it amazing user friendly UI but the i can't found for get pin button in the app,2025-01-07 09:26:17,3,2025-01-07,BOA,Google Play
Workneh tadesse Worta,Boa,2025-01-06 05:43:09,5,2025-01-06,BOA,Google Play
Alias 05,Great 👍,2025-01-04 13:59:09,5,2025-01-04,BOA,Google Play
Ze Robel,Fast and suitable for the customers.,2025-01-04 05:16:44,5,2025-01-04,BOA,Google Play
Fekadu Abera,Good 👍,2025-01-03 17:59:49,5,2025-01-03,BOA,Google Play
Samrawit Nekatibeb,Good app and helpful,2025-01-03 12:51:42,5,2025-01-03,BOA,Google Play
abebe mekasha,"I will give only one star, because it faced with multiple of problems. 1. The app is not as fast as the other banks App, for e.g like CBE 2. The App asks repeatedly to switch off developer options, even if it is switched off. 3. Bank of Abyssinia's services are interesting, but they ignored the issues on the App service. 4. Most customers gave a complain on the App, but no one accept their complain to fix the issue. 5. Lastly, I will not recommend the App unless the issue has been solved ASAP!!",2025-01-03 04:56:58,1,2025-01-03,BOA,Google Play
Sisay Tesfa,By assessing this you can tell Abyssinia bank has no idea what mobile banking is ?,2025-01-02 12:31:28,1,2025-01-02,BOA,Google Play
Amaha Teklay,It doesn't work at all.,2025-01-02 10:24:09,2,2025-01-02,BOA,Google Play
Ismael Abdella,this app is not available,2025-01-02 05:46:51,1,2025-01-02,BOA,Google Play
sofonyas eyob,Best,2025-01-01 16:59:05,5,2025-01-01,BOA,Google Play
Haa Maya,Wow what amazing,2024-12-30 18:45:24,5,2024-12-30,BOA,Google Play
Meswani Meswani,love it,2024-12-30 16:30:43,5,2024-12-30,BOA,Google Play
Hasen Teherku,በጣም መሻሻል አለበት....... ለ ባንኩ ማይመጥን መተግበርያ ነው ::,2024-12-30 13:08:06,2,2024-12-30,BOA,Google Play
Abdul Hakim,Lemn embi yilal??,2024-12-30 13:01:11,5,2024-12-30,BOA,Google Play
Dagim Derebe,Good,2024-12-30 10:20:13,5,2024-12-30,BOA,Google Play
Mahi,It's useless app downgraded.,2024-12-29 10:19:05,1,2024-12-29,BOA,Google Play
Abemelek Fasika,Why is not letting me access my account. The whole point of this app is for me to gey access to my account without physically being at the bank. I would give it a zero but a one will suffice to get my point accross.,2024-12-27 10:28:26,1,2024-12-27,BOA,Google Play
አሙራ Amura tube,Nice,2024-12-26 16:09:33,5,2024-12-26,BOA,Google Play
Yisehak Tesfaye,When are you going to get rid of this and have a real app that works? By far the worst mobile banking app.,2024-12-24 03:27:54,1,2024-12-24,BOA,Google Play
